"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",1261,378543440,300193.053132,76.91,164,206662308,5918227.983948
"KERNEL_DISPATCH",216,94852010,439129.675926,19.27,2566,2289477,497193.504986
"MEMORY_COPY",58,10949021,188776.224138,2.22,9422,751988,226381.392488
"MEMORY_ALLOCATION",185,7803408,42180.583784,1.59,280,674990,79986.931193
"SCRATCH_MEMORY",1,32624,32624.000000,6.628e-03,32624,32624,0.00000000e+00
