"Kind","Operation","Agent_Id","Allocation_Size","Address","Correlation_Id","Start_Timestamp","End_Timestamp"
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",2,2097152,"0x00007f0d07a00000",283,1970374070144254,1970374070155687
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",2,458752,"0x00007f1514355000",284,1970374070159790,1970374070161244
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",2,512,"0x00007f15143c5000",285,1970374070163171,1970374070163844
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",2,14680064,"0x00007f0cd8c00000",286,1970374070166214,1970374070180196
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007f0d06200000",345,1970374074003094,1970374074134549
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007f0d07a00000",346,1970374074137405,1970374074137814
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007f1514355000",347,1970374074141028,1970374074141314
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007f15143c5000",348,1970374074142800,1970374074143332
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_FREE",0,0,"0x00007f0cd8c00000",349,1970374074145219,1970374074228603
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",2,33030144,"0x00007f0cd0000000",352,1970377240975574,1970377241047042
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",2,7340032,"0x00007f0d06800000",353,1970377241065640,1970377241085335
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",2,1032192,"0x00007f0d07a00000",354,1970377241092875,1970377241096958
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE",2,1792,"0x00007f1514200000",355,1970377241104497,1970377241105281
