"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",2,1,1341235,19,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",106,1970371690654641,1970371690746129,24,35332,1024,1,1,8192,24,1
"KERNEL_DISPATCH",2,1,1341235,20,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",111,1970371690799771,1970371690891900,24,35332,1024,1,1,8192,24,1
"KERNEL_DISPATCH",2,1,1341235,21,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",116,1970371690948869,1970371691040357,24,35332,1024,1,1,8192,24,1
"KERNEL_DISPATCH",2,1,1341235,22,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",121,1970371691094038,1970371691186007,24,35332,1024,1,1,8192,24,1
"KERNEL_DISPATCH",2,1,1341235,23,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",126,1970371691238246,1970371691330856,24,35332,1024,1,1,8192,24,1
"KERNEL_DISPATCH",2,1,1341235,24,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",131,1970371691388507,1970371691480436,24,35332,1024,1,1,8192,24,1
"KERNEL_DISPATCH",2,1,1341235,25,5,"__amd_rocclr_copyBuffer",150,1970372590977847,1970372590980974,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,1,1341235,26,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",153,1970372591042033,1970372591452645,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,27,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",156,1970372591507690,1970372591861613,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,28,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",161,1970372591916297,1970372592271544,24,35332,1024,1,1,8192,5,1
