#{"t_start": 1744393569.5702631, "env_id": "CartPole-v1"}
r,l,t
164.0,164,93.900231
113.0,113,94.099559
500.0,500,95.022568
336.0,336,95.658628
348.0,348,98.891934
235.0,235,99.381801
301.0,301,100.002588
332.0,332,100.735224
356.0,356,101.536453
336.0,336,102.250966
462.0,462,105.991318
500.0,500,107.317018
500.0,500,108.580864
500.0,500,109.672612
347.0,347,112.980327
500.0,500,114.041816
481.0,481,115.057414
500.0,500,116.245916
346.0,346,117.293309
500.0,500,120.923674
500.0,500,121.914142
500.0,500,123.179206
500.0,500,124.298113
500.0,500,127.899711
500.0,500,128.987528
500.0,500,130.2091
500.0,500,131.403072
500.0,500,134.913823
500.0,500,136.084205
500.0,500,137.023024
500.0,500,138.014558
500.0,500,141.413368
500.0,500,142.337667
500.0,500,143.259017
500.0,500,144.350797
500.0,500,148.596652
500.0,500,149.832154
500.0,500,150.92577
500.0,500,152.117697
500.0,500,156.259926
500.0,500,157.514239
500.0,500,158.674685
500.0,500,159.853462
500.0,500,163.575445
500.0,500,164.736607
500.0,500,165.916064
500.0,500,166.916203
500.0,500,167.838016
500.0,500,171.49414
500.0,500,172.441895
500.0,500,173.534827
500.0,500,174.60916
500.0,500,178.221487
500.0,500,179.161283
500.0,500,180.109499
500.0,500,181.195776
500.0,500,184.769979
500.0,500,185.676595
500.0,500,186.831959
500.0,500,187.783304
500.0,500,191.983943
500.0,500,193.044577
500.0,500,194.291257
500.0,500,195.442244
500.0,500,199.051756
500.0,500,200.094931
500.0,500,201.199602
500.0,500,202.178637
500.0,500,205.740535
500.0,500,206.76287
500.0,500,208.083192
500.0,500,209.10242
500.0,500,212.763827
500.0,500,213.94529
500.0,500,214.933121
500.0,500,215.842717
500.0,500,219.490334
500.0,500,220.458165
500.0,500,221.626302
500.0,500,222.622962
500.0,500,225.864718
500.0,500,226.779557
500.0,500,227.74574
500.0,500,228.921476
500.0,500,232.298543
500.0,500,233.382865
500.0,500,234.37884
500.0,500,235.515465
500.0,500,236.394069
500.0,500,239.926205
500.0,500,241.013415
500.0,500,241.980476
500.0,500,243.027171
500.0,500,246.417392
500.0,500,247.396739
500.0,500,248.439346
500.0,500,249.249172
500.0,500,252.720242
500.0,500,253.622909
500.0,500,254.502202
500.0,500,255.437107
500.0,500,258.824898
500.0,500,259.7408
500.0,500,260.794789
500.0,500,261.803033
500.0,500,265.225007
500.0,500,266.352271
500.0,500,267.273152
500.0,500,268.289625
500.0,500,271.513229
500.0,500,272.620307
500.0,500,273.643236
500.0,500,274.491176
500.0,500,277.646369
500.0,500,278.703068
500.0,500,279.601237
500.0,500,280.671279
500.0,500,284.167157
500.0,500,285.215865
500.0,500,286.379015
500.0,500,287.551034
500.0,500,290.619026
500.0,500,291.475618
500.0,500,292.623569
500.0,500,293.711358
500.0,500,297.233067
500.0,500,298.215159
500.0,500,299.345837
500.0,500,300.354976
500.0,500,301.308894
500.0,500,304.790223
500.0,500,305.846541
500.0,500,306.887339
500.0,500,307.925714
500.0,500,311.44983
500.0,500,312.556715
500.0,500,313.389382
500.0,500,314.287023
500.0,500,317.99752
500.0,500,319.159172
500.0,500,320.261244
500.0,500,321.216282
500.0,500,324.87106
500.0,500,325.922801
500.0,500,326.952217
500.0,500,328.128671
500.0,500,331.863961
500.0,500,332.968661
500.0,500,334.047124
500.0,500,335.240618
500.0,500,338.616833
500.0,500,339.618039
500.0,500,340.76689
500.0,500,341.780178
500.0,500,345.192621
500.0,500,346.318058
500.0,500,347.344225
500.0,500,348.349381
500.0,500,351.946432
500.0,500,352.824155
500.0,500,353.771768
500.0,500,354.628269
500.0,500,357.936658
500.0,500,358.902117
500.0,500,359.859354
500.0,500,360.987769
